academic_year,author,title,project_id,pdf_url,degree_program,is_msc_ai,submission_year,abstract_snippet,source
2023-2024,"Baeza Hirnyak, Ivan",Detecting user radicalization on YouTube using time-series,20247289,https://project-archive.inf.ed.ac.uk/msc/20247289/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Detecting user radicalization on YouTube using time-series modelling Ivan Baeza Hirnyak T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This dissertation presents a new approach to predicting user radicalization on YouTube by using time-series models, which can capture the temporal progression of us",UoE Informatics Outstanding MSc Archive
2023-2024,"Bermejo, Tomas",Automating Systematic Reviews: Generalisation to New,20247282,https://project-archive.inf.ed.ac.uk/msc/20247282/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Automating Systematic Reviews: Generalisation to New Abstract Screening Tasks with Merged Expert LoRAs Tom´as Bermejo T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Systematic reviews (SRs) of academic literature are a crucial part of many scientific fields including healthcare, but the large time ",UoE Informatics Outstanding MSc Archive
2023-2024,"Desmitniece, Beate",Graph Neural Network Approach to Census Prediction:,20247283,https://project-archive.inf.ed.ac.uk/msc/20247283/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Graph Neural Network Approach to Census Prediction: Mozambique Case Study Beate Desmitniece T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Up-to-date census information is essential for effective resource allocation, service planning and disaster mitigation. While previous studies have utilised pro",UoE Informatics Outstanding MSc Archive
2023-2024,"Fyksen, Elias",Mitigating Overestimation in Stochastic Environments: A,20247112,https://project-archive.inf.ed.ac.uk/msc/20247112/msc_proj.pdf,MSc Artificial Intelligence,True,2024,Mitigating Overestimation in Stochastic Environments: A Causal Approach to Planning in Reinforcement Learning Elias F . Fyksen T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This thesis investigates the integration of causal inference techniques into reinforcement learning to enhance planning in st,UoE Informatics Outstanding MSc Archive
2023-2024,"Hamid, Irfan",Tree Species Classification with High Resolution Satellite,20246990,https://project-archive.inf.ed.ac.uk/msc/20246990/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Tree Species Classification with High Resolution Satellite Imagery in a Multi-Label Setting Irfan Hamid T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Forests play a critical role in maintaining ecological balance, providing numerous ecological services such as carbon sequestration, biodiversity pr",UoE Informatics Outstanding MSc Archive
2023-2024,"Hu, Chen",Scaling Pixel-based Language Models,20247194,https://project-archive.inf.ed.ac.uk/msc/20247194/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Scaling Pixel-based Language Models Chen Hu T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Recently, Pixel-based Language Models have been shown to perform well in natural language processing tasks. However, most of these pixel-based LLMs can only process discriminative tasks. While PIXAR can handl",UoE Informatics Outstanding MSc Archive
2023-2024,"Jeong, Jinyoung",Reimagining Generative Agents: 3D Architecture,20247059,https://project-archive.inf.ed.ac.uk/msc/20247059/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Reimagining Generative Agents: 3D Architecture Implementation and LLM Caching Optimisation Jinyoung Jeong T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Human behaviour simulation has been a topic of interest for decades, with applications ranging from social simulations to video games. Traditional",UoE Informatics Outstanding MSc Archive
2023-2024,"Kuchta, Patryk",Hard-Routed Adapters: Enhancing API Calls in Multi-Agent,20247108,https://project-archive.inf.ed.ac.uk/msc/20247108/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Hard-Routed Adapters: Enhancing API Calls in Multi-Agent LLM Pipelines Patryk Kuchta T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract The market proliferation of voice assistants (Canalys, 2021), has encouraged the inves- tigation of Tool-Use capabilities powered by Large Language Models (LLMs). Qin ",UoE Informatics Outstanding MSc Archive
2023-2024,"Lennox, Harry",Explainable Transformers for Credit Risk,20247102,https://project-archive.inf.ed.ac.uk/msc/20247102/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Explainable Transformers for Credit Risk Harry Lennox T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Machine learning credit risk models play an important role in banking, but despite the widespread success of deep learning in other domains, tree-based models are still state-of-the-art for tabular ",UoE Informatics Outstanding MSc Archive
2023-2024,"McGrath, Dylan",A Visual Solver For Fair Division - Adding,20247362,https://project-archive.inf.ed.ac.uk/msc/20247362/msc_proj.pdf,MSc Artificial Intelligence,True,2024,A Visual Solver For Fair Division - Adding State-Of-The-Art-Algorithms Dylan McGrath T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract The Fair Slice platform is an educational tool that teaches about envy-free cake-cutting with interactive courses and a resource-splitting tool that uses two simple al,UoE Informatics Outstanding MSc Archive
