academic_year,author,title,project_id,pdf_url,degree_program,is_msc_ai,submission_year,abstract_snippet,source
2023-2024,"-, Aakansha Ramesh",Enhancing Spike System through Advanced Feature Extraction,20247001,https://project-archive.inf.ed.ac.uk/msc/20247001/msc_proj.pdf,MSc Computer Science,False,2024,"Enhancing Spike System through Advanced Feature Extraction and Clustering Algorithms on High-Density Multi-Electrode Arrays Aakansha Ramesh T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract Advancements in neurotechnology have enabled the recording of neuronal activity with unprecedented detail, using high-d",UoE Informatics Outstanding MSc Archive
2023-2024,"-, Harsh",Efficient Multi-Stream Machine Learning on Apache Flink,20247415,https://project-archive.inf.ed.ac.uk/msc/20247415/msc_proj.pdf,MSc Computer Science,False,2024,"Efficient Multi-Stream Machine Learning on Apache Flink Harsh T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract Across numerous sectors, a pressing demand has risen for real-time machine learning model training, a pivotal requirement for swift decision-making. Extensive research has been conducted to address",UoE Informatics Outstanding MSc Archive
2023-2024,"Abdurrahman, .",A Bot To Manage Privacy Within Telegram Group Chat,20247081,https://project-archive.inf.ed.ac.uk/msc/20247081/msc_proj.pdf,MSc School Of Informatics,False,2024,"A Bot To Manage Privacy Within Telegram Group Chat . Abdurrahman T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract In the current digital landscape, privacy concerns on social networking platforms have become increasingly significant, particularly within messaging applications that incorporate social networking features, suc",UoE Informatics Outstanding MSc Archive
2023-2024,"Adamski, Mateusz",Comprehensive Financial Data Analysis and Visualization,20247241,https://project-archive.inf.ed.ac.uk/msc/20247241/msc_proj.pdf,MSc School Of Informatics,False,2024,Comprehensive Financial Data Analysis and Visualization Platform for Regional and Sectoral Insights Mateusz Adamski T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This dissertation develops a financial data analysis and visualization platform to enhance regional and sectoral insights for investors and analysts. Addressing,UoE Informatics Outstanding MSc Archive
2023-2024,"Akhouri, Arth",Large Language Model-driven Data Augmentation for Neural,20247098,https://project-archive.inf.ed.ac.uk/msc/20247098/msc_proj.pdf,MSc Data Science,False,2024,"Large Language Model-driven Data Augmentation for Neural Link Predictors Arth Akhouri T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract In this modern era, all the technological advancements in the fields of Machine Learn- ing (ML) and Artificial Intelligence (AI) are primarily because of data. The way this know",UoE Informatics Outstanding MSc Archive
2023-2024,"Arshad, Mohammad",Developing a Hybrid Django-React Architecture for an,20247349,https://project-archive.inf.ed.ac.uk/msc/20247349/msc_proj.pdf,MSc Data Science,False,2024,"Developing a Hybrid Django-React Architecture for an Investor-Startup Recommendation System Mohammad Arshad T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract This dissertation explores the development and implementation of a hybrid Django- React architecture for an investor-startup recommendation system, address",UoE Informatics Outstanding MSc Archive
2023-2024,"Baeza Hirnyak, Ivan",Detecting user radicalization on YouTube using time-series,20247289,https://project-archive.inf.ed.ac.uk/msc/20247289/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Detecting user radicalization on YouTube using time-series modelling Ivan Baeza Hirnyak T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This dissertation presents a new approach to predicting user radicalization on YouTube by using time-series models, which can capture the temporal progression of us",UoE Informatics Outstanding MSc Archive
2023-2024,"Barlow, Benjamin",Intelligent optimization of borehole geophysics planning,20247436,https://project-archive.inf.ed.ac.uk/msc/20247436/msc_proj.pdf,MSc School Of Informatics,False,2024,"Intelligent optimization of borehole geophysics planning for critical mineral exploration Benjamin Barlow T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract The transition to a carbon-free energy grid and transportation network hinges on accel- erating the discovery of the battery metals: copper, nickel, cobalt, and lithium. ",UoE Informatics Outstanding MSc Archive
2023-2024,"Bermejo, Tomas",Automating Systematic Reviews: Generalisation to New,20247282,https://project-archive.inf.ed.ac.uk/msc/20247282/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Automating Systematic Reviews: Generalisation to New Abstract Screening Tasks with Merged Expert LoRAs Tom´as Bermejo T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Systematic reviews (SRs) of academic literature are a crucial part of many scientific fields including healthcare, but the large time ",UoE Informatics Outstanding MSc Archive
2023-2024,"Birskus, Mantas",LBPO: Lagrangian-Based Policy Optimization,20247275,https://project-archive.inf.ed.ac.uk/msc/20247275/msc_proj.pdf,MSc School Of Informatics,False,2024,LBPO: Lagrangian-Based Policy Optimization Mantas Birskus T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Physics-Informed Neural Networks (PINNs) are revolutionizing scientific machine learning by imposing mathematical constraints on data-driven predictions. This has sparked interest in time-sensitive Physics-Informed Rei,UoE Informatics Outstanding MSc Archive
